"station","PC_um","PN_um","cast","rosette","cruise"
"10",0.899903412313614,0.139333506052047,2,16,"MT"
"10",1.7514475291057,0.283617948867364,2,10,"MT"
"10",0.634978575978297,0.124480695762235,2,5,"MT"
"11",1.82173371017425,0.270886968618954,2,17,"MT"
"11",1.88030552773138,0.326054549695398,2,13,"MT"
"11",0.628670841779838,0.101140565306816,2,5,"MT"
"12",2.36780327078378,0.283617948867364,1,24,"MT"
"12",1.86678895444897,0.285739778908766,1,16,"MT"
"12",2.8525976991797,0.436389711848288,1,13,"MT"
"12",0.699858127733885,0.0968969052240121,1,5,"MT"
"13",2.30833034834116,0.279374288784561,2,24,"MT"
"13",2.09566959536451,0.264521478494748,2,20,"MT"
"13",1.79560166849492,0.294227099074373,2,10,"MT"
"13",0.649396254146206,0.122358865720833,2,5,"MT"
"14",2.11909832238736,0.268765138577552,2,24,"MT"
"14",1.55951218849542,0.228450367790919,2,16,"MT"
"14",1.49733595139632,0.249668668204936,2,12,"MT"
"14",0.798979665138255,0.141455336093448,2,5,"MT"
"4",1.92982875039667,0.299973722103169,1,19,"MT"
"4",0.890742179311089,0.120944312359898,1,17,"MT"
"4",2.39513678564378,0.397843132762824,1,9,"MT"
"4",0.724488327937395,0.125718429953052,1,1,"MT"
"5",2.01186684101355,0.292105269032971,1,24,"MT"
"5",2.14342815429571,0.323932719653997,1,16,"MT"
"5",1.48832490254137,0.251790498246338,1,13,"MT"
"5",0.882782419489223,0.137211676010645,1,5,"MT"
"6",1.90373425475423,0.264521478494748,3,24,"MT"
"6",2.11188948330341,0.30271441923998,3,16,"MT"
"6",1.67935913826616,0.289983438991569,3,11,"MT"
"6",0.729594588955196,0.137211676010645,3,5,"MT"
"7",1.84245912254062,0.277252458743159,1,24,"MT"
"7",1.96500938696784,0.309079909364185,1,16,"MT"
"7",1.63971052330441,0.289983438991569,1,11,"MT"
"7",0.798979665138255,0.154186316341859,1,5,"MT"
"8",1.88751436681534,0.236937687956526,1,24,"MT"
"8",1.98483369444872,0.304836249281381,1,16,"MT"
"8",1.59916080345717,0.289983438991569,1,10,"MT"
"8",0.687242659336965,0.137211676010645,1,5,"MT"
"9",2.12810937124231,0.258155988370543,2,22,"MT"
"9",2.30923145322666,0.264521478494748,2,17,"MT"
"9",1.49553374162533,0.270886968618954,2,13,"MT"
"9",0.611549848955446,0.115993375596628,2,4,"MT"
"10",1.7729574420251,0.275130628701757,2,24,"MT"
"11",1.8119623046472,0.393953111020254,2,23,"MT"
"L1",1.76409681975217,0.321510715295536,4,9,"MC"
"L1",2.95311361896839,0.501014216391059,4,2,"MC"
"L1",2.16753133474625,0.314330575251716,6,23,"MC"
"L1",2.23443253572517,0.316723955266323,6,17,"MC"
"L1",2.57197950430062,0.433999575982064,6,15,"MC"
"L1",2.79903812580482,0.45314661609892,6,14,"MC"
"L1",2.86999394502489,0.493834076347238,6,7,"MC"
"L1",1.83505263897223,0.311937195237109,6,5,"MC"
"L1",0.97851453553003,0.173121154389904,6,4,"MC"
"L1",0.713950695295219,0.127646934112372,6,3,"MC"
"L1",2.15435382546252,0.32629747532475,9,9,"MC"
"L1",2.6946317060953,0.431606195967457,9,2,"MC"
"L1",2.57502046798148,0.338264375397785,10,9,"MC"
"L1",2.16955864386682,0.364591555558462,10,2,"MC"
"L1",2.03068796910756,0.304757055193288,11,19,"MC"
"L1",2.46960039371167,0.402885635792173,11,10,"MC"
"L1",2.11684860673192,0.338264375397785,13,10,"MC"
"L1",2.10367109744819,0.362198175543855,13,8,"MC"
"L1",1.95669118620663,0.319117335280929,15,9,"MC"
"L1",2.31045662774667,0.362198175543855,15,2,"MC"
"L1",2.04183816927071,0.314330575251716,16,10,"MC"
"L1",2.81221563508855,0.42921281595285,16,2,"MC"
"L1",2.21618675364001,0.328690855339357,17,10,"MC"
"L1",2.30538835494523,0.386131975689925,17,2,"MC"
"L1",2.2324052266046,0.314330575251716,18,16,"MC"
"L1",2.03575624190899,0.343051135426999,18,7,"MC"
"L1",2.05501567855443,0.297576915149467,19,19,"MC"
"L1",2.12191687953335,0.347837895456213,19,8,"MC"
"L1",1.87965343962485,0.292790155120253,22,10,"MC"
"L1",1.74483738310672,0.304757055193288,22,2,"MC"
"L1",1.77995658727695,0.291101149022536,23,17,"MC"
"L1",1.99755602467316,0.350590484653845,23,7,"MC"
"L1",2.11912566340625,0.31489688327506,25,23,"MC"
"L1",2.0557868600327,0.291101149022536,25,17,"MC"
"L1",1.93115244049122,0.281582855321527,25,15,"MC"
"L1",2.91392548638394,0.426736834261919,25,14,"MC"
"L1",1.97916733982277,0.333933470677078,25,13,"MC"
"L1",2.25091123816733,0.37676579233162,25,7,"MC"
"L1",1.47245691283442,0.226852666540723,25,5,"MC"
"L1",0.951444175406887,0.150706316932648,25,4,"MC"
"L1",0.627599003319575,0.117392288979115,25,3,"MC"
"L1",2.11299610178945,0.298239869298293,26,10,"MC"
"L1",2.09767219774747,0.350590484653845,26,2,"MC"
"L1",2.31220685433528,0.319656030125564,28,10,"MC"
"L1",2.23150095971415,0.355349631504349,28,2,"MC"
"L1",2.10686654017266,0.300619442723545,29,11,"MC"
"L1",2.10482335296706,0.367247498630611,29,1,"MC"
"L1",1.82286351859451,0.281582855321527,30,10,"MC"
"L1",2.30403410551288,0.393422806308387,30,2,"MC"
"L2",2.07588775534785,0.329779073733852,6,11,"MC"
"L2",1.86219715094321,0.339252081237877,6,2,"MC"
"L2",2.01714815792856,0.270572776833699,8,24,"MC"
"L2",2.5478300380614,0.35582984436992,8,17,"MC"
"L2",2.79089044117567,0.358198096245926,8,15,"MC"
"L2",2.22780050729427,0.334515577485865,8,14,"MC"
"L2",1.89055419797321,0.320306066229828,8,13,"MC"
"L2",1.97359983570392,0.336883829361871,8,7,"MC"
"L2",1.6464810431793,0.291887043717755,8,5,"MC"
"L2",1.15327097519325,0.206629976181534,8,4,"MC"
"L2",0.936542115749687,0.154528434909399,8,3,"MC"
"L2",2.57821258845068,0.346356836865895,11,9,"MC"
"L2",1.87435017109893,0.332147325609859,11,2,"MC"
"L2",2.52858775614818,0.334515577485865,12,11,"MC"
"L2",1.87333741941929,0.327410821857846,12,2,"MC"
"L2",1.74775621114358,0.301360051221779,13,19,"MC"
"L2",2.26831057447998,0.329779073733852,13,8,"MC"
"L2",2.16804815819534,0.31320131060181,15,16,"MC"
"L2",1.80548305688322,0.308464806849797,15,8,"MC"
"L2",2.13564010444677,0.341620333113883,17,11,"MC"
"L2",1.9351152718775,0.327410821857846,17,2,"MC"
"L2",2.20551997034213,0.32504256998184,18,10,"MC"
"L2",1.43177768709502,0.268204524957693,18,2,"MC"
"L2",2.44047836001926,0.343988584989889,19,10,"MC"
"L2",1.65255755325715,0.296623547469767,19,2,"MC"
"L2",2.95090520655923,0.353461592493914,20,17,"MC"
"L2",1.62825151294573,0.294255295593761,20,6,"MC"
"L2",2.31894815846212,0.336883829361871,21,19,"MC"
"L2",1.80244480184429,0.320306066229828,21,10,"MC"
"L2",2.26527231944105,0.346356836865895,24,9,"MC"
"L2",1.74978171450286,0.310833058725803,24,2,"MC"
"L2",2.22172399721641,0.346356836865895,25,11,"MC"
"L2",1.56748641216716,0.280045784337724,25,2,"MC"
"L2",1.22618909612753,0.199525220553516,26,24,"MC"
"L2",2.43541460162104,0.341620333113883,26,18,"MC"
"L2",2.57416158173211,0.362934599997938,26,16,"MC"
"L2",2.4769374204864,0.358198096245926,26,15,"MC"
"L2",2.21564748713855,0.317937814353822,26,14,"MC"
"L2",1.94321728531464,0.322674318105834,26,7,"MC"
"L2",1.01756225012111,0.175842701793455,26,4,"MC"
"L2",0.557772987563277,0.126109412397326,26,3,"MC"
"L2",2.67371663366805,0.373965627282339,27,10,"MC"
"L2",1.82224680302728,0.314131126917165,27,2,"MC"
"L2",3.06093267569755,0.383539147340767,29,10,"MC"
"L2",1.7675094567718,0.311737746902558,29,2,"MC"
"L2",2.66662105174605,0.354818587165483,30,10,"MC"
"L2",1.66817130986371,0.311737746902558,30,2,"MC"
"L2",2.63114314213601,0.352425207150876,31,11,"MC"
"L2",1.75331829292779,0.3260980269902,31,2,"MC"
"36",0.515267518227826,0.11666311578761,1,2,"FK"
"36",1.02716286683374,0.209517432434892,1,4,"FK"
"36",1.63516504966409,0.266658550371681,1,6,"FK"
"36",2.76315578819294,0.44046278409608,1,10,"FK"
"36",2.43942750448959,0.378559906331226,1,12,"FK"
"36",2.3605187353369,0.35713198710493,1,16,"FK"
"36",2.13896719117742,0.342846707620733,1,18,"FK"
"36",1.91741564701794,0.342846707620733,1,20,"FK"
"59",0.666993325550799,0.138521865841439,1,2,"FK"
"59",0.70940622437462,0.140830563605463,1,4,"FK"
"59",1.013365332612,0.196239309942039,1,6,"FK"
"59",1.90706570068537,0.332452478019454,1,10,"FK"
"59",1.81517108656709,0.304748104851166,1,12,"FK"
"59",1.95856707782858,0.304748104851166,1,14,"FK"
"59",2.56446563245459,0.350922060131646,1,16,"FK"
"59",2.09893357631694,0.323217686963358,1,20,"FK"
"71",0.613303981404772,0.129287074785343,1,3,"FK"
"71",0.805171857036342,0.168534936773751,1,4,"FK"
"71",1.07176722107179,0.196239309942039,1,7,"FK"
"71",1.97556589838892,0.348613362367622,1,12,"FK"
"71",1.73320647653851,0.288587220502999,1,15,"FK"
"71",2.06645068158282,0.31860029143531,1,17,"FK"
"71",2.21085650376868,0.334761175783478,1,21,"FK"
"71",1.6776657756978,0.277043731682879,1,24,"FK"
"72",0.655716880228593,0.131595772549367,1,3,"FK"
"72",0.932410553507804,0.168534936773751,1,4,"FK"
"72",1.54234843183132,0.272426336154831,1,10,"FK"
"72",1.08085569939118,0.198548007706063,1,13,"FK"
"72",1.89275976259003,0.300130709323118,1,14,"FK"
"72",2.10078493301163,0.316291593671286,1,17,"FK"
"72",2.14420766275982,0.325526384727382,1,21,"FK"
"72",2.00889031889335,0.302439407087143,1,24,"FK"
"73",0.752049787284227,0.154640809089393,1,3,"FK"
"73",1.03387905612546,0.189786447518801,1,4,"FK"
"73",1.61066942353888,0.281165107435261,1,10,"FK"
"73",1.69249082417021,0.299909447930945,1,13,"FK"
"73",1.4894525337147,0.2788220648733,1,14,"FK"
"73",1.75814997282498,0.299909447930945,1,17,"FK"
"73",1.99452290798214,0.328025958674471,1,21,"FK"
"73",1.71370377988944,0.297566405368984,1,24,"FK"
"74",1.16469228306073,0.216340929887687,1,4,"FK"
"74",1.4879373225919,0.260858738564936,1,6,"FK"
"74",1.99906854135055,0.260858738564936,1,10,"FK"
"74",1.59198181969099,0.246800483193173,1,12,"FK"
"74",2.15564035737346,0.32177784517591,1,14,"FK"
"74",2.14149838689397,0.317091760051988,1,19,"FK"
"74",2.15665049812199,0.319434802613949,1,24,"FK"
