"filename","polarity","samp_type","cruise","station","cast","depth","abs_depth","rosette","tripl","id","untripl","date_run","timestamp"
"170706_Blk_Blk0p2_1.mzML","neg","Blk","MC",NA,NA,NA,NA,NA,NA,NA,NA,2017-07-06,2017-07-09 00:25:06
"170706_Blk_Blk0p2_1.mzML","pos","Blk","MC",NA,NA,NA,NA,NA,NA,NA,NA,2017-07-06,2017-07-09 00:25:06
"170706_Blk_Blk0p2_2.mzML","neg","Blk","MC",NA,NA,NA,NA,NA,NA,NA,NA,2017-07-06,2017-07-11 18:16:51
"170706_Blk_Blk0p2_2.mzML","pos","Blk","MC",NA,NA,NA,NA,NA,NA,NA,NA,2017-07-06,2017-07-11 18:16:51
"180205_Std_4uMStdsInH2O_1.mzML","neg","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-05 20:00:46
"180205_Std_4uMStdsInH2O_1.mzML","pos","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-05 20:00:46
"180205_Std_4uMStdsInMatrix_1.mzML","neg","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-05 21:41:47
"180205_Std_4uMStdsInMatrix_1.mzML","pos","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-05 21:41:47
"180205_Poo_TruePoo_Full1.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 01:03:46
"180205_Poo_TruePoo_Full1.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 01:03:46
"180205_Poo_TruePoo_Half1.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 01:54:16
"180205_Poo_TruePoo_Half1.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 01:54:16
"180205_Smp_L2C1DCMless20m_A.mzML","neg","Smp","MC","L2",1,"DCMless20m",103,NA,"A","L2C1DCM-20m_A","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-06 04:25:48
"180205_Smp_L2C1DCMless20m_A.mzML","pos","Smp","MC","L2",1,"DCMless20m",103,NA,"A","L2C1DCM-20m_A","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-06 04:25:48
"180205_Smp_L1C33DCMplus10m_A.mzML","neg","Smp","MC","L1",33,"DCMplus10m",114.5,11,"A","L1C33DCM+10m_A","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-06 05:16:17
"180205_Smp_L1C33DCMplus10m_A.mzML","pos","Smp","MC","L1",33,"DCMplus10m",114.5,11,"A","L1C33DCM+10m_A","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-06 05:16:17
"180205_Smp_L2C2DCMplus20m_A.mzML","neg","Smp","MC","L2",2,"DCMplus20m",143,NA,"A","L2C2DCM+20m_A","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-06 06:57:19
"180205_Smp_L2C2DCMplus20m_A.mzML","pos","Smp","MC","L2",2,"DCMplus20m",143,NA,"A","L2C2DCM+20m_A","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-06 06:57:19
"180205_Smp_L2C2DCMplus10m_A.mzML","neg","Smp","MC","L2",2,"DCMplus10m",133,NA,"A","L2C2DCM+10m_A","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-06 07:47:49
"180205_Smp_L2C2DCMplus10m_A.mzML","pos","Smp","MC","L2",2,"DCMplus10m",133,NA,"A","L2C2DCM+10m_A","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-06 07:47:49
"180205_Smp_L1C32DCMless10m_A.mzML","neg","Smp","MC","L1",32,"DCMless10m",98.8,12,"A","L1C32DCM-10m_A","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-06 08:38:20
"180205_Smp_L1C32DCMless10m_A.mzML","pos","Smp","MC","L1",32,"DCMless10m",98.8,12,"A","L1C32DCM-10m_A","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-06 08:38:20
"180205_Smp_L1C32DCMless20m_A.mzML","neg","Smp","MC","L1",32,"DCMless20m",88.8,17,"A","L1C32DCM-20m_A","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-06 11:09:50
"180205_Smp_L1C32DCMless20m_A.mzML","pos","Smp","MC","L1",32,"DCMless20m",88.8,17,"A","L1C32DCM-20m_A","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-06 11:09:50
"180205_Smp_L2C2DCM_A.mzML","neg","Smp","MC","L2",2,"DCM",123,NA,"A","L2C2DCM_A","180205_Smp_L2C2DCM",2018-02-05,2018-02-06 12:00:21
"180205_Smp_L2C2DCM_A.mzML","pos","Smp","MC","L2",2,"DCM",123,NA,"A","L2C2DCM_A","180205_Smp_L2C2DCM",2018-02-05,2018-02-06 12:00:21
"180205_Smp_L1C33DCM_A.mzML","neg","Smp","MC","L1",33,"DCM",103.5,16,"A","L1C33DCM_A","180205_Smp_L1C33DCM",2018-02-05,2018-02-06 13:41:22
"180205_Smp_L1C33DCM_A.mzML","pos","Smp","MC","L1",33,"DCM",103.5,16,"A","L1C33DCM_A","180205_Smp_L1C33DCM",2018-02-05,2018-02-06 13:41:22
"180205_Smp_L1C33DCMplus20m_A.mzML","neg","Smp","MC","L1",33,"DCMplus20m",124.4,8,"A","L1C33DCM+20m_A","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-06 14:31:51
"180205_Smp_L1C33DCMplus20m_A.mzML","pos","Smp","MC","L1",33,"DCMplus20m",124.4,8,"A","L1C33DCM+20m_A","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-06 14:31:51
"180205_Smp_L2C1DCMless10m_A.mzML","neg","Smp","MC","L2",1,"DCMless10m",113,NA,"A","L2C1DCM-10m_A","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-06 15:22:21
"180205_Smp_L2C1DCMless10m_A.mzML","pos","Smp","MC","L2",1,"DCMless10m",113,NA,"A","L2C1DCM-10m_A","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-06 15:22:21
"180205_Poo_TruePoo_Half2.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 19:34:55
"180205_Poo_TruePoo_Half2.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 19:34:55
"180205_Poo_TruePoo_Full2.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 20:25:24
"180205_Poo_TruePoo_Full2.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-06 20:25:24
"180205_Smp_L1C33DCM_B.mzML","neg","Smp","MC","L1",33,"DCM",103.7,17,"B","L1C33DCM_B","180205_Smp_L1C33DCM",2018-02-05,2018-02-06 23:47:28
"180205_Smp_L1C33DCM_B.mzML","pos","Smp","MC","L1",33,"DCM",103.7,17,"B","L1C33DCM_B","180205_Smp_L1C33DCM",2018-02-05,2018-02-06 23:47:28
"180205_Smp_L2C2DCMplus10m_B.mzML","neg","Smp","MC","L2",2,"DCMplus10m",133,NA,"B","L2C2DCM+10m_B","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-07 01:28:28
"180205_Smp_L2C2DCMplus10m_B.mzML","pos","Smp","MC","L2",2,"DCMplus10m",133,NA,"B","L2C2DCM+10m_B","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-07 01:28:28
"180205_Smp_L2C1DCMless10m_B.mzML","neg","Smp","MC","L2",1,"DCMless10m",113,NA,"B","L2C1DCM-10m_B","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-07 02:18:56
"180205_Smp_L2C1DCMless10m_B.mzML","pos","Smp","MC","L2",1,"DCMless10m",113,NA,"B","L2C1DCM-10m_B","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-07 02:18:56
"180205_Smp_L1C32DCMless10m_B.mzML","neg","Smp","MC","L1",32,"DCMless10m",98,13,"B","L1C32DCM-10m_B","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-07 04:50:29
"180205_Smp_L1C32DCMless10m_B.mzML","pos","Smp","MC","L1",32,"DCMless10m",98,13,"B","L1C32DCM-10m_B","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-07 04:50:29
"180205_Smp_L2C1DCMless20m_B.mzML","neg","Smp","MC","L2",1,"DCMless20m",103,NA,"B","L2C1DCM-20m_B","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-07 05:40:57
"180205_Smp_L2C1DCMless20m_B.mzML","pos","Smp","MC","L2",1,"DCMless20m",103,NA,"B","L2C1DCM-20m_B","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-07 05:40:57
"180205_Smp_L1C33DCMplus20m_B.mzML","neg","Smp","MC","L1",33,"DCMplus20m",124.3,7,"B","L1C33DCM+20m_B","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-07 07:21:59
"180205_Smp_L1C33DCMplus20m_B.mzML","pos","Smp","MC","L1",33,"DCMplus20m",124.3,7,"B","L1C33DCM+20m_B","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-07 07:21:59
"180205_Smp_L1C32DCMless20m_B.mzML","neg","Smp","MC","L1",32,"DCMless20m",88.5,18,"B","L1C32DCM-20m_B","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-07 08:12:29
"180205_Smp_L1C32DCMless20m_B.mzML","pos","Smp","MC","L1",32,"DCMless20m",88.5,18,"B","L1C32DCM-20m_B","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-07 08:12:29
"180205_Smp_L2C2DCM_B.mzML","neg","Smp","MC","L2",2,"DCM",123,NA,"B","L2C2DCM_B","180205_Smp_L2C2DCM",2018-02-05,2018-02-07 09:53:29
"180205_Smp_L2C2DCM_B.mzML","pos","Smp","MC","L2",2,"DCM",123,NA,"B","L2C2DCM_B","180205_Smp_L2C2DCM",2018-02-05,2018-02-07 09:53:29
"180205_Smp_L2C2DCMplus20m_B.mzML","neg","Smp","MC","L2",2,"DCMplus20m",143,NA,"B","L2C2DCM+20m_B","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-07 12:25:01
"180205_Smp_L2C2DCMplus20m_B.mzML","pos","Smp","MC","L2",2,"DCMplus20m",143,NA,"B","L2C2DCM+20m_B","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-07 12:25:01
"180205_Smp_L1C33DCMplus10m_B.mzML","neg","Smp","MC","L1",33,"DCMplus10m",114.8,12,"B","L1C33DCM+10m_B","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-07 13:15:29
"180205_Smp_L1C33DCMplus10m_B.mzML","pos","Smp","MC","L1",33,"DCMplus10m",114.8,12,"B","L1C33DCM+10m_B","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-07 13:15:29
"180205_Poo_TruePoo_Half3.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-07 17:28:03
"180205_Poo_TruePoo_Half3.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-07 17:28:03
"180205_Smp_L1C32DCMless10m_C.mzML","neg","Smp","MC","L1",32,"DCMless10m",98.4,14,"C","L1C32DCM-10m_C","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-08 00:12:08
"180205_Smp_L1C32DCMless10m_C.mzML","pos","Smp","MC","L1",32,"DCMless10m",98.4,14,"C","L1C32DCM-10m_C","180205_Smp_L1C32DCMless10m",2018-02-05,2018-02-08 00:12:08
"180205_Smp_L2C1DCMless20m_C.mzML","neg","Smp","MC","L2",1,"DCMless20m",103,NA,"C","L2C1DCM-20m_C","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-08 01:02:39
"180205_Smp_L2C1DCMless20m_C.mzML","pos","Smp","MC","L2",1,"DCMless20m",103,NA,"C","L2C1DCM-20m_C","180205_Smp_L2C1DCMless20m",2018-02-05,2018-02-08 01:02:39
"180205_Smp_L1C33DCMplus20m_C.mzML","neg","Smp","MC","L1",33,"DCMplus20m",124.8,6,"C","L1C33DCM+20m_C","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-08 02:43:41
"180205_Smp_L1C33DCMplus20m_C.mzML","pos","Smp","MC","L1",33,"DCMplus20m",124.8,6,"C","L1C33DCM+20m_C","180205_Smp_L1C33DCMplus20m",2018-02-05,2018-02-08 02:43:41
"180205_Smp_L2C2DCM_C.mzML","neg","Smp","MC","L2",2,"DCM",123,NA,"C","L2C2DCM_C","180205_Smp_L2C2DCM",2018-02-05,2018-02-08 03:34:09
"180205_Smp_L2C2DCM_C.mzML","pos","Smp","MC","L2",2,"DCM",123,NA,"C","L2C2DCM_C","180205_Smp_L2C2DCM",2018-02-05,2018-02-08 03:34:09
"180205_Smp_L1C33DCMplus10m_C.mzML","neg","Smp","MC","L1",33,"DCMplus10m",114.1,13,"C","L1C33DCM+10m_C","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-08 05:15:11
"180205_Smp_L1C33DCMplus10m_C.mzML","pos","Smp","MC","L1",33,"DCMplus10m",114.1,13,"C","L1C33DCM+10m_C","180205_Smp_L1C33DCMplus10m",2018-02-05,2018-02-08 05:15:11
"180205_Smp_L1C32DCMless20m_C.mzML","neg","Smp","MC","L1",32,"DCMless20m",88.2,19,"C","L1C32DCM-20m_C","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-08 06:05:39
"180205_Smp_L1C32DCMless20m_C.mzML","pos","Smp","MC","L1",32,"DCMless20m",88.2,19,"C","L1C32DCM-20m_C","180205_Smp_L1C32DCMless20m",2018-02-05,2018-02-08 06:05:39
"180205_Smp_L2C2DCMplus10m_C.mzML","neg","Smp","MC","L2",2,"DCMplus10m",133,NA,"C","L2C2DCM+10m_C","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-08 07:46:41
"180205_Smp_L2C2DCMplus10m_C.mzML","pos","Smp","MC","L2",2,"DCMplus10m",133,NA,"C","L2C2DCM+10m_C","180205_Smp_L2C2DCMplus10m",2018-02-05,2018-02-08 07:46:41
"180205_Smp_L2C1DCMless10m_C.mzML","neg","Smp","MC","L2",1,"DCMless10m",113,NA,"C","L2C1DCM-10m_C","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-08 08:37:09
"180205_Smp_L2C1DCMless10m_C.mzML","pos","Smp","MC","L2",1,"DCMless10m",113,NA,"C","L2C1DCM-10m_C","180205_Smp_L2C1DCMless10m",2018-02-05,2018-02-08 08:37:09
"180205_Smp_L1C33DCM_C.mzML","neg","Smp","MC","L1",33,"DCM",103.5,18,"C","L1C33DCM_C","180205_Smp_L1C33DCM",2018-02-05,2018-02-08 09:27:42
"180205_Smp_L1C33DCM_C.mzML","pos","Smp","MC","L1",33,"DCM",103.5,18,"C","L1C33DCM_C","180205_Smp_L1C33DCM",2018-02-05,2018-02-08 09:27:42
"180205_Smp_L2C2DCMplus20m_C.mzML","neg","Smp","MC","L2",2,"DCMplus20m",143,NA,"C","L2C2DCM+20m_C","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-08 11:08:43
"180205_Smp_L2C2DCMplus20m_C.mzML","pos","Smp","MC","L2",2,"DCMplus20m",143,NA,"C","L2C2DCM+20m_C","180205_Smp_L2C2DCMplus20m",2018-02-05,2018-02-08 11:08:43
"180205_Poo_TruePoo_Full3.mzML","neg","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 11:59:10
"180205_Poo_TruePoo_Full3.mzML","pos","Poo","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 11:59:10
"180205_Std_4uMStdsInMatrix_2.mzML","neg","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 13:40:14
"180205_Std_4uMStdsInMatrix_2.mzML","pos","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 13:40:14
"180205_Std_4uMStdsInH2O_2.mzML","neg","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 14:30:42
"180205_Std_4uMStdsInH2O_2.mzML","pos","Std","MC",NA,NA,NA,NA,NA,NA,NA,NA,2018-02-05,2018-02-08 14:30:42
"180821_Std_4uMStdsMix1InH2O_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 21:43:07
"180821_Std_4uMStdsMix1InH2O_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 21:43:07
"180821_Std_4uMStdsMix2InH2O_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 22:33:38
"180821_Std_4uMStdsMix2InH2O_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 22:33:38
"180821_Std_4uMStdsMix1InMatrix_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 23:24:10
"180821_Std_4uMStdsMix1InMatrix_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-21 23:24:10
"180821_Std_4uMStdsMix2InMatrix_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 00:14:39
"180821_Std_4uMStdsMix2InMatrix_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 00:14:39
"180821_Std_H2OInMatrix_1.mzML","neg","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 02:46:09
"180821_Std_H2OInMatrix_1.mzML","pos","Std","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 02:46:09
"180821_Smp_MS4C115m_A.mzML","neg","Smp","MT","4",1,"15m",14.1,21,"A","MS4C115m_A","180821_Smp_MS4C115m",2018-08-21,2018-08-22 07:49:11
"180821_Smp_MS4C115m_A.mzML","pos","Smp","MT","4",1,"15m",14.1,21,"A","MS4C115m_A","180821_Smp_MS4C115m",2018-08-21,2018-08-22 07:49:11
"180821_Smp_MS5C1DCM_B.mzML","neg","Smp","MT","5",1,"DCM",122.4,10,"B","MS5C1DCM_B","180821_Smp_MS5C1DCM",2018-08-21,2018-08-22 08:39:42
"180821_Smp_MS5C1DCM_B.mzML","pos","Smp","MT","5",1,"DCM",122.4,10,"B","MS5C1DCM_B","180821_Smp_MS5C1DCM",2018-08-21,2018-08-22 08:39:42
"180821_Smp_MS6C3175m_C.mzML","neg","Smp","MT","6",3,"175m",176.5,3,"C","MS6C3175m_C","180821_Smp_MS6C3175m",2018-08-21,2018-08-22 10:20:41
"180821_Smp_MS6C3175m_C.mzML","pos","Smp","MT","6",3,"175m",176.5,3,"C","MS6C3175m_C","180821_Smp_MS6C3175m",2018-08-21,2018-08-22 10:20:41
"180821_Smp_MS7C115m_B.mzML","neg","Smp","MT","7",1,"15m",15.9,21,"B","MS7C115m_B","180821_Smp_MS7C115m",2018-08-21,2018-08-22 11:11:14
"180821_Smp_MS7C115m_B.mzML","pos","Smp","MT","7",1,"15m",15.9,21,"B","MS7C115m_B","180821_Smp_MS7C115m",2018-08-21,2018-08-22 11:11:14
"180821_Smp_MS8C1DCM_C.mzML","neg","Smp","MT","8",1,"DCM",122.9,12,"C","MS8C1DCM_C","180821_Smp_MS8C1DCM",2018-08-21,2018-08-22 12:52:15
"180821_Smp_MS8C1DCM_C.mzML","pos","Smp","MT","8",1,"DCM",122.9,12,"C","MS8C1DCM_C","180821_Smp_MS8C1DCM",2018-08-21,2018-08-22 12:52:15
"180821_Smp_MS9C2175m_C.mzML","neg","Smp","MT","9",2,"175m",175.2,3,"C","MS9C2175m_C","180821_Smp_MS9C2175m",2018-08-21,2018-08-22 13:42:44
"180821_Smp_MS9C2175m_C.mzML","pos","Smp","MT","9",2,"175m",175.2,3,"C","MS9C2175m_C","180821_Smp_MS9C2175m",2018-08-21,2018-08-22 13:42:44
"180821_Smp_MS10C215m_A.mzML","neg","Smp","MT","10",2,"15m",15.8,20,"A","MS10C215m_A","180821_Smp_MS10C215m",2018-08-21,2018-08-22 15:23:45
"180821_Smp_MS10C215m_A.mzML","pos","Smp","MT","10",2,"15m",15.8,20,"A","MS10C215m_A","180821_Smp_MS10C215m",2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full1.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full2.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full3.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full4.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full5.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full6.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half1.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half2.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half3.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half4.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half5.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half6.mzML","neg","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full1.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full2.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full3.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full4.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full5.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Full6.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half1.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half2.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half3.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half4.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half5.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Poo_Day1and2Poo_Half6.mzML","pos","Poo","MT",NA,NA,NA,NA,NA,NA,NA,NA,2018-08-21,2018-08-22 15:23:45
"180821_Smp_MS11C2DCM_B.mzML","neg","Smp","MT","11",2,"DCM",110.7,11,"B","MS11C2DCM_B","180821_Smp_MS11C2DCM",2018-08-21,2018-08-22 16:14:16
"180821_Smp_MS11C2DCM_B.mzML","pos","Smp","MT","11",2,"DCM",110.7,11,"B","MS11C2DCM_B","180821_Smp_MS11C2DCM",2018-08-21,2018-08-22 16:14:16
"180821_Smp_MS12C1175m_A.mzML","neg","Smp","MT","12",1,"175m",175.2,1,"A","MS12C1175m_A","180821_Smp_MS12C1175m",2018-08-21,2018-08-22 17:55:16
"180821_Smp_MS12C1175m_A.mzML","pos","Smp","MT","12",1,"175m",175.2,1,"A","MS12C1175m_A","180821_Smp_MS12C1175m",2018-08-21,2018-08-22 17:55:16
"180821_Smp_MS13C315m_B.mzML","neg","Smp","MT","13",3,"15m",15.3,1,"B","MS13C315m_B","180821_Smp_MS13C315m",2018-08-21,2018-08-22 18:45:46
"180821_Smp_MS13C315m_B.mzML","pos","Smp","MT","13",3,"15m",15.3,1,"B","MS13C315m_B","180821_Smp_MS13C315m",2018-08-21,2018-08-22 18:45:46
"180821_Smp_MS14C2DCM_A.mzML","neg","Smp","MT","14",2,"DCM",105.5,10,"A","MS14C2DCM_A","180821_Smp_MS14C2DCM",2018-08-21,2018-08-22 20:26:48
"180821_Smp_MS14C2DCM_A.mzML","pos","Smp","MT","14",2,"DCM",105.5,10,"A","MS14C2DCM_A","180821_Smp_MS14C2DCM",2018-08-21,2018-08-22 20:26:48
"180821_Smp_MS4C1DCM_B.mzML","neg","Smp","MT","4",1,"DCM",99.7,11,"B","MS4C1DCM_B","180821_Smp_MS4C1DCM",2018-08-21,2018-08-22 21:17:18
"180821_Smp_MS4C1DCM_B.mzML","pos","Smp","MT","4",1,"DCM",99.7,11,"B","MS4C1DCM_B","180821_Smp_MS4C1DCM",2018-08-21,2018-08-22 21:17:18
"180821_Smp_MS11C215m_B.mzML","neg","Smp","MT","11",2,"15m",16.2,21,"B","MS11C215m_B","180821_Smp_MS11C215m",2018-08-21,2018-08-23 02:20:21
"180821_Smp_MS11C215m_B.mzML","pos","Smp","MT","11",2,"15m",16.2,21,"B","MS11C215m_B","180821_Smp_MS11C215m",2018-08-21,2018-08-23 02:20:21
