filename,timestamp,polarity
170706_Blk_Blk0p2_1.mzML,2017-07-09T07:25:06Z,neg
170706_Blk_Blk0p2_2.mzML,2017-07-12T01:16:51Z,neg
180205_Poo_TruePoo_Full1.mzML,2018-02-06T09:03:46Z,neg
180205_Poo_TruePoo_Full2.mzML,2018-02-07T04:25:24Z,neg
180205_Poo_TruePoo_Full3.mzML,2018-02-08T19:59:10Z,neg
180205_Poo_TruePoo_Half1.mzML,2018-02-06T09:54:16Z,neg
180205_Poo_TruePoo_Half2.mzML,2018-02-07T03:34:55Z,neg
180205_Poo_TruePoo_Half3.mzML,2018-02-08T01:28:03Z,neg
180205_Smp_L1C32DCMless10m_A.mzML,2018-02-06T16:38:20Z,neg
180205_Smp_L1C32DCMless10m_B.mzML,2018-02-07T12:50:29Z,neg
180205_Smp_L1C32DCMless10m_C.mzML,2018-02-08T08:12:08Z,neg
180205_Smp_L1C32DCMless20m_A.mzML,2018-02-06T19:09:50Z,neg
180205_Smp_L1C32DCMless20m_B.mzML,2018-02-07T16:12:29Z,neg
180205_Smp_L1C32DCMless20m_C.mzML,2018-02-08T14:05:39Z,neg
180205_Smp_L1C33DCM_A.mzML,2018-02-06T21:41:22Z,neg
180205_Smp_L1C33DCM_B.mzML,2018-02-07T07:47:28Z,neg
180205_Smp_L1C33DCM_C.mzML,2018-02-08T17:27:42Z,neg
180205_Smp_L1C33DCMplus10m_A.mzML,2018-02-06T13:16:17Z,neg
180205_Smp_L1C33DCMplus10m_B.mzML,2018-02-07T21:15:29Z,neg
180205_Smp_L1C33DCMplus10m_C.mzML,2018-02-08T13:15:11Z,neg
180205_Smp_L1C33DCMplus20m_A.mzML,2018-02-06T22:31:51Z,neg
180205_Smp_L1C33DCMplus20m_B.mzML,2018-02-07T15:21:59Z,neg
180205_Smp_L1C33DCMplus20m_C.mzML,2018-02-08T10:43:41Z,neg
180205_Smp_L2C1DCMless10m_A.mzML,2018-02-06T23:22:21Z,neg
180205_Smp_L2C1DCMless10m_B.mzML,2018-02-07T10:18:56Z,neg
180205_Smp_L2C1DCMless10m_C.mzML,2018-02-08T16:37:09Z,neg
180205_Smp_L2C1DCMless20m_A.mzML,2018-02-06T12:25:48Z,neg
180205_Smp_L2C1DCMless20m_B.mzML,2018-02-07T13:40:57Z,neg
180205_Smp_L2C1DCMless20m_C.mzML,2018-02-08T09:02:39Z,neg
180205_Smp_L2C2DCM_A.mzML,2018-02-06T20:00:21Z,neg
180205_Smp_L2C2DCM_B.mzML,2018-02-07T17:53:29Z,neg
180205_Smp_L2C2DCM_C.mzML,2018-02-08T11:34:09Z,neg
180205_Smp_L2C2DCMplus10m_A.mzML,2018-02-06T15:47:49Z,neg
180205_Smp_L2C2DCMplus10m_B.mzML,2018-02-07T09:28:28Z,neg
180205_Smp_L2C2DCMplus10m_C.mzML,2018-02-08T15:46:41Z,neg
180205_Smp_L2C2DCMplus20m_A.mzML,2018-02-06T14:57:19Z,neg
180205_Smp_L2C2DCMplus20m_B.mzML,2018-02-07T20:25:01Z,neg
180205_Smp_L2C2DCMplus20m_C.mzML,2018-02-08T19:08:43Z,neg
180205_Std_4uMStdsInH2O_1.mzML,2018-02-06T04:00:46Z,neg
180205_Std_4uMStdsInH2O_2.mzML,2018-02-08T22:30:42Z,neg
180205_Std_4uMStdsInMatrix_1.mzML,2018-02-06T05:41:47Z,neg
180205_Std_4uMStdsInMatrix_2.mzML,2018-02-08T21:40:14Z,neg
180821_Poo_Day1and2Poo_Full1.mzML,2018-08-22T13:08:12Z,neg
180821_Poo_Day1and2Poo_Full2.mzML,2018-08-23T14:23:23Z,neg
180821_Poo_Day1and2Poo_Full3.mzML,2018-08-25T00:25:51Z,neg
180821_Poo_Day1and2Poo_Full4.mzML,2018-08-26T13:28:07Z,neg
180821_Poo_Day1and2Poo_Full5.mzML,2018-08-29T20:37:19Z,neg
180821_Poo_Day1and2Poo_Full6.mzML,2018-08-30T20:11:31Z,neg
180821_Poo_Day1and2Poo_Half1.mzML,2018-08-22T12:17:43Z,neg
180821_Poo_Day1and2Poo_Half2.mzML,2018-08-23T05:58:22Z,neg
180821_Poo_Day1and2Poo_Half3.mzML,2018-08-24T23:35:22Z,neg
180821_Poo_Day1and2Poo_Half4.mzML,2018-08-26T14:18:38Z,neg
180821_Poo_Day1and2Poo_Half5.mzML,2018-08-29T19:46:50Z,neg
180821_Poo_Day1and2Poo_Half6.mzML,2018-08-30T18:30:35Z,neg
180821_Smp_MS10C215m_A.mzML,2018-08-22T22:23:45Z,neg
180821_Smp_MS10C215m_B.mzML,2018-08-31T05:27:06Z,neg
180821_Smp_MS10C215m_C.mzML,2018-08-26T10:56:35Z,neg
180821_Smp_MS10C2175m_A.mzML,2018-08-31T07:08:08Z,neg
180821_Smp_MS10C2175m_B.mzML,2018-08-29T10:31:15Z,neg
180821_Smp_MS10C2175m_C.mzML,2018-08-24T05:54:43Z,neg
180821_Smp_MS10C2DCM_A.mzML,2018-08-29T12:12:18Z,neg
180821_Smp_MS10C2DCM_B.mzML,2018-08-31T08:49:09Z,neg
180821_Smp_MS10C2DCM_C.mzML,2018-08-29T14:43:46Z,neg
180821_Smp_MS11C215m_A.mzML,2018-08-24T17:41:47Z,neg
180821_Smp_MS11C215m_B.mzML,2018-08-23T09:20:21Z,neg
180821_Smp_MS11C215m_C.mzML,2018-08-24T18:32:18Z,neg
180821_Smp_MS11C2175m_A.mzML,2018-08-28T09:16:04Z,neg
180821_Smp_MS11C2175m_B.mzML,2018-08-24T10:07:15Z,neg
180821_Smp_MS11C2175m_C.mzML,2018-08-25T15:34:57Z,neg
180821_Smp_MS11C2DCM_A.mzML,2018-08-28T21:53:36Z,neg
180821_Smp_MS11C2DCM_B.mzML,2018-08-22T23:14:16Z,neg
180821_Smp_MS11C2DCM_C.mzML,2018-08-29T07:09:14Z,neg
180821_Smp_MS12C115m_A.mzML,2018-08-29T09:40:44Z,neg
180821_Smp_MS12C115m_B.mzML,2018-08-30T05:52:57Z,neg
180821_Smp_MS12C115m_C.mzML,2018-08-28T12:38:03Z,neg
180821_Smp_MS12C1175m_A.mzML,2018-08-23T00:55:16Z,neg
180821_Smp_MS12C1175m_B.mzML,2018-08-29T18:05:47Z,neg
180821_Smp_MS12C1175m_C.mzML,2018-08-26T11:47:08Z,neg
180821_Smp_MS12C1DCM_A.mzML,2018-08-23T11:01:22Z,neg
180821_Smp_MS12C1DCM_B.mzML,2018-08-28T22:44:07Z,neg
180821_Smp_MS12C1DCM_C.mzML,2018-08-28T20:12:35Z,neg
180821_Smp_MS13C2175m_A.mzML,2018-08-23T11:51:53Z,neg
180821_Smp_MS13C2175m_B.mzML,2018-08-24T07:35:45Z,neg
180821_Smp_MS13C2175m_C.mzML,2018-08-25T09:41:26Z,neg
180821_Smp_MS13C2DCM_A.mzML,2018-08-24T20:13:19Z,neg
180821_Smp_MS13C2DCM_B.mzML,2018-08-25T12:12:58Z,neg
180821_Smp_MS13C2DCM_C.mzML,2018-08-26T08:25:05Z,neg
180821_Smp_MS13C315m_A.mzML,2018-08-28T15:09:35Z,neg
180821_Smp_MS13C315m_B.mzML,2018-08-23T01:45:46Z,neg
180821_Smp_MS13C315m_C.mzML,2018-08-28T16:50:34Z,neg
180821_Smp_MS14C215m_A.mzML,2018-08-31T04:36:40Z,neg
180821_Smp_MS14C215m_B.mzML,2018-08-25T20:38:01Z,neg
180821_Smp_MS14C215m_C.mzML,2018-08-26T05:53:35Z,neg
180821_Smp_MS14C2175m_A.mzML,2018-08-26T03:22:03Z,neg
180821_Smp_MS14C2175m_B.mzML,2018-08-29T13:02:47Z,neg
180821_Smp_MS14C2175m_C.mzML,2018-08-23T16:04:24Z,neg
180821_Smp_MS14C2DCM_A.mzML,2018-08-23T03:26:48Z,neg
180821_Smp_MS14C2DCM_B.mzML,2018-08-30T09:14:56Z,neg
180821_Smp_MS14C2DCM_C.mzML,2018-08-25T17:15:58Z,neg
180821_Smp_MS4C115m_A.mzML,2018-08-22T14:49:11Z,neg
180821_Smp_MS4C115m_B.mzML,2018-08-29T17:15:18Z,neg
180821_Smp_MS4C115m_C.mzML,2018-08-31T10:30:08Z,neg
180821_Smp_MS4C1175m_A.mzML,2018-08-23T16:54:55Z,neg
180821_Smp_MS4C1175m_B.mzML,2018-08-24T16:00:46Z,neg
180821_Smp_MS4C1175m_C.mzML,2018-08-28T14:19:06Z,neg
180821_Smp_MS4C1DCM_A.mzML,2018-08-24T13:29:16Z,neg
180821_Smp_MS4C1DCM_B.mzML,2018-08-23T04:17:18Z,neg
180821_Smp_MS4C1DCM_C.mzML,2018-08-26T09:15:36Z,neg
180821_Smp_MS5C115m_A.mzML,2018-08-28T19:22:06Z,neg
180821_Smp_MS5C115m_B.mzML,2018-08-24T00:01:15Z,neg
180821_Smp_MS5C115m_C.mzML,2018-08-25T10:31:55Z,neg
180821_Smp_MS5C1175m_A.mzML,2018-08-23T17:45:26Z,neg
180821_Smp_MS5C1175m_B.mzML,2018-08-25T13:03:27Z,neg
180821_Smp_MS5C1175m_C.mzML,2018-08-31T13:01:38Z,neg
180821_Smp_MS5C1DCM_A.mzML,2018-08-28T10:06:33Z,neg
180821_Smp_MS5C1DCM_B.mzML,2018-08-22T15:39:42Z,neg
180821_Smp_MS5C1DCM_C.mzML,2018-08-30T10:55:59Z,neg
180821_Smp_MS6C315m_A.mzML,2018-08-24T21:03:50Z,neg
180821_Smp_MS6C315m_B.mzML,2018-08-26T00:50:31Z,neg
180821_Smp_MS6C315m_C.mzML,2018-08-25T14:44:28Z,neg
180821_Smp_MS6C3175m_A.mzML,2018-08-31T11:20:39Z,neg
180821_Smp_MS6C3175m_B.mzML,2018-08-29T15:34:17Z,neg
180821_Smp_MS6C3175m_C.mzML,2018-08-22T17:20:41Z,neg
180821_Smp_MS6C3DCM_A.mzML,2018-08-24T10:57:46Z,neg
180821_Smp_MS6C3DCM_B.mzML,2018-08-24T00:51:41Z,neg
180821_Smp_MS6C3DCM_C.mzML,2018-08-28T11:47:32Z,neg
180821_Smp_MS7C115m_A.mzML,2018-08-26T06:44:04Z,neg
180821_Smp_MS7C115m_B.mzML,2018-08-22T18:11:14Z,neg
180821_Smp_MS7C115m_C.mzML,2018-08-25T19:47:31Z,neg
180821_Smp_MS7C1175m_A.mzML,2018-08-25T08:00:25Z,neg
180821_Smp_MS7C1175m_B.mzML,2018-08-24T02:32:41Z,neg
180821_Smp_MS7C1175m_C.mzML,2018-08-24T12:38:49Z,neg
180821_Smp_MS7C1DCM_A.mzML,2018-08-26T04:12:33Z,neg
180821_Smp_MS7C1DCM_B.mzML,2018-08-25T07:09:58Z,neg
180821_Smp_MS7C1DCM_C.mzML,2018-08-28T17:41:05Z,neg
180821_Smp_MS8C115m_A.mzML,2018-08-25T18:06:29Z,neg
180821_Smp_MS8C115m_B.mzML,2018-08-24T03:23:11Z,neg
180821_Smp_MS8C115m_C.mzML,2018-08-30T15:58:59Z,neg
180821_Smp_MS8C1175m_A.mzML,2018-08-30T06:43:25Z,neg
180821_Smp_MS8C1175m_B.mzML,2018-08-29T07:59:45Z,neg
180821_Smp_MS8C1175m_C.mzML,2018-08-30T08:24:25Z,neg
180821_Smp_MS8C1DCM_A.mzML,2018-08-31T15:33:10Z,neg
180821_Smp_MS8C1DCM_B.mzML,2018-08-30T11:46:28Z,neg
180821_Smp_MS8C1DCM_C.mzML,2018-08-22T19:52:15Z,neg
180821_Smp_MS9C215m_A.mzML,2018-08-26T01:41:03Z,neg
180821_Smp_MS9C215m_B.mzML,2018-08-31T13:52:09Z,neg
180821_Smp_MS9C215m_C.mzML,2018-08-24T08:26:13Z,neg
180821_Smp_MS9C2175m_A.mzML,2018-08-30T16:49:28Z,neg
180821_Smp_MS9C2175m_B.mzML,2018-08-24T15:10:17Z,neg
180821_Smp_MS9C2175m_C.mzML,2018-08-22T20:42:44Z,neg
180821_Smp_MS9C2DCM_A.mzML,2018-08-30T14:17:58Z,neg
180821_Smp_MS9C2DCM_B.mzML,2018-08-24T05:04:17Z,neg
180821_Smp_MS9C2DCM_C.mzML,2018-08-30T13:27:29Z,neg
180821_Std_4uMStdsMix1InH2O_1.mzML,2018-08-22T04:43:07Z,neg
180821_Std_4uMStdsMix1InH2O_2.mzML,2018-08-28T06:44:32Z,neg
180821_Std_4uMStdsMix1InH2O_3.mzML,2018-08-31T19:45:42Z,neg
180821_Std_4uMStdsMix1InMatrix_1.mzML,2018-08-22T06:24:10Z,neg
180821_Std_4uMStdsMix1InMatrix_2.mzML,2018-08-28T04:13:00Z,neg
180821_Std_4uMStdsMix1InMatrix_3.mzML,2018-08-31T18:04:41Z,neg
180821_Std_4uMStdsMix2InH2O_1.mzML,2018-08-22T05:33:38Z,neg
180821_Std_4uMStdsMix2InH2O_2.mzML,2018-08-28T07:35:01Z,neg
180821_Std_4uMStdsMix2InH2O_3.mzML,2018-08-31T20:36:13Z,neg
180821_Std_4uMStdsMix2InMatrix_1.mzML,2018-08-22T07:14:39Z,neg
180821_Std_4uMStdsMix2InMatrix_2.mzML,2018-08-28T05:03:33Z,neg
180821_Std_4uMStdsMix2InMatrix_3.mzML,2018-08-31T18:55:13Z,neg
180821_Std_H2OInMatrix_1.mzML,2018-08-22T09:46:09Z,neg
180821_Std_H2OInMatrix_2.mzML,2018-08-28T03:22:29Z,neg
180821_Std_H2OInMatrix_3.mzML,2018-08-31T17:14:12Z,neg
190715_Blk_KM1906U14-Blk_C.mzML,2019-07-14T15:25:46Z,neg
190715_Poo_TruePooFK180310_Full1.mzML,2019-07-19T00:33:17Z,neg
190715_Poo_TruePooFK180310_Full2.mzML,2019-07-19T19:04:26Z,neg
190715_Poo_TruePooFK180310_Full3.mzML,2019-07-20T15:29:25Z,neg
190715_Poo_TruePooFK180310_Half1.mzML,2019-07-18T23:42:48Z,neg
190715_Poo_TruePooFK180310_Half2.mzML,2019-07-19T18:13:53Z,neg
190715_Poo_TruePooFK180310_Half3.mzML,2019-07-20T14:38:51Z,neg
190715_Smp_FK180310S62C1-25m_A.mzML,2019-07-19T14:51:53Z,neg
190715_Smp_FK180310S62C1-25m_B.mzML,2019-07-20T11:16:50Z,neg
190715_Smp_FK180310S62C1-25m_C.mzML,2019-07-19T03:04:47Z,neg
190715_Smp_FK180310S62C1-DCM_A.mzML,2019-07-19T09:48:50Z,neg
190715_Smp_FK180310S62C1-DCM_B.mzML,2019-07-19T07:17:18Z,neg
190715_Smp_FK180310S62C1-DCM_C.mzML,2019-07-20T07:04:18Z,neg
190715_Smp_FK180310S64C1-25m_A.mzML,2019-07-20T08:45:20Z,neg
190715_Smp_FK180310S64C1-25m_B.mzML,2019-07-19T08:07:51Z,neg
190715_Smp_FK180310S64C1-25m_C.mzML,2019-07-19T13:10:51Z,neg
190715_Smp_FK180310S64C1-DCM_A.mzML,2019-07-19T10:39:21Z,neg
190715_Smp_FK180310S64C1-DCM_B.mzML,2019-07-20T12:07:23Z,neg
190715_Smp_FK180310S64C1-DCM_C.mzML,2019-07-20T09:35:48Z,neg
190715_Smp_FK180310S77C1-25m_A.mzML,2019-07-20T03:42:18Z,neg
190715_Smp_FK180310S77C1-25m_B.mzML,2019-07-19T21:35:56Z,neg
190715_Smp_FK180310S77C1-25m_C.mzML,2019-07-19T15:42:23Z,neg
190715_Smp_FK180310S77C1-DCM_A.mzML,2019-07-19T04:45:48Z,neg
190715_Smp_FK180310S77C1-DCM_B.mzML,2019-07-19T05:36:19Z,neg
190715_Smp_FK180310S77C1-DCM_C.mzML,2019-07-20T06:13:50Z,neg
190715_Smp_FK180310S80C1-25m_A.mzML,2019-07-20T04:32:50Z,neg
190715_Smp_FK180310S80C1-25m_B.mzML,2019-07-19T02:14:20Z,neg
190715_Smp_FK180310S80C1-25m_C.mzML,2019-07-19T12:20:20Z,neg
190715_Smp_FK180310S80C1-DCM_A.mzML,2019-07-19T23:16:55Z,neg
190715_Smp_FK180310S80C1-DCM_B.mzML,2019-07-20T02:01:18Z,neg
190715_Smp_FK180310S80C1-DCM_C.mzML,2019-07-19T20:45:25Z,neg
190715_Std_4uMStdsMix1InH2O_1.mzML,2019-07-13T04:04:31Z,neg
190715_Std_4uMStdsMix1InH2O_2.mzML,2019-07-18T10:14:41Z,neg
190715_Std_4uMStdsMix1InMatrix_1.mzML,2019-07-13T05:45:31Z,neg
190715_Std_4uMStdsMix1InMatrix_2.mzML,2019-07-18T11:55:40Z,neg
190715_Std_4uMStdsMix2InH2O_1.mzML,2019-07-13T04:55:02Z,neg
190715_Std_4uMStdsMix2InH2O_2.mzML,2019-07-18T11:05:12Z,neg
190715_Std_4uMStdsMix2InMatrix_1.mzML,2019-07-13T06:36:01Z,neg
190715_Std_4uMStdsMix2InMatrix_2.mzML,2019-07-18T12:46:11Z,neg
190715_Std_H2OinMatrix_1.mzML,2019-07-13T03:14:01Z,neg
190715_Std_H2OinMatrix_2.mzML,2019-07-18T09:24:10Z,neg
180205_Poo_TruePooNeg_dda1.mzML,2018-02-07T01:53:52Z,neg
180205_Poo_TruePooNeg_dda2.mzML,2018-02-07T23:47:02Z,neg
180205_Poo_TruePooNeg_dda3.mzML,2018-02-08T06:31:07Z,neg
190715_Poo_TruePooFK180310_DDAneg20.mzML,2019-07-20T18:00:55Z,neg
190715_Poo_TruePooFK180310_DDAneg35.mzML,2019-07-20T20:32:28Z,neg
190715_Poo_TruePooFK180310_DDAneg50.mzML,2019-07-20T23:03:58Z,neg
170706_Blk_Blk0p2_1.mzML,2017-07-09T07:25:06Z,pos
170706_Blk_Blk0p2_2.mzML,2017-07-12T01:16:51Z,pos
180205_Poo_TruePoo_Full1.mzML,2018-02-06T09:03:46Z,pos
